Time stamp,CPU Usage,Memory Usage,Control command sent,Encoder position,CPU Temperature,Packets sent,Packets received
2.0761404037475586,0.6,31.9,20495755149.50824,0.0,37.0,402,366
2.2758872509002686,0.4,31.9,20495755122.916473,457.0,37.0,440,404
2.4761648178100586,0.0,31.9,20495755081.795628,1601.0,37.0,474,441
2.676097869873047,1.2,31.9,20495755080.550358,2782.0,37.0,511,476
2.87735652923584,0.4,31.9,20495755081.614475,3956.0,37.0,541,506
3.077305555343628,0.8,31.9,20495755081.406334,5131.0,37.0,592,553
3.27734637260437,1.6,31.9,20495755101.9143,5986.0,37.0,628,590
3.4043936729431152,0.7,31.9,20495755040.481983,7139.0,37.0,650,614
3.6179070472717285,0.4,31.9,20495755117.587234,7808.0,37.0,701,657
3.8101630210876465,0.4,31.9,20495755078.500168,8985.0,37.0,735,692
4.016041278839111,0.8,31.9,20495755086.422016,10141.0,37.0,782,735
4.2196455001831055,0.0,31.9,20495755084.48092,11314.0,37.0,822,773
4.431325674057007,0.4,31.9,20495755088.327374,12474.0,38.0,861,812
4.628333568572998,0.4,31.9,20495755084.42758,13625.0,38.0,901,847
4.833061456680298,0.8,31.9,20495755086.731808,14781.0,38.0,938,887
5.038348913192749,0.0,31.9,20495755087.03093,15935.0,38.0,984,933
5.243507623672485,0.4,31.9,20495755087.422146,17089.0,38.0,1026,973
5.447955131530762,1.2,31.9,20495755087.211533,18249.0,37.0,1063,1013
5.614856481552124,0.0,31.9,20495755070.80881,19411.0,37.0,1097,1045
5.857271432876587,0.3,31.9,20495755122.326336,20125.0,37.0,1136,1084
6.06244421005249,0.8,31.8,20495755075.302795,21487.0,37.0,1186,1130
6.267024040222168,0.0,31.8,20495755088.068447,22662.0,37.0,1219,1163
6.464386224746704,0.0,31.8,20495755068.92189,24093.0,35.0,1260,1202
12.206762075424194,0.3,31.8,20495755098.480427,55714.0,37.0,2256,2133
12.411112546920776,0.0,31.8,20495755089.840824,56985.0,37.0,2295,2175
12.616008520126343,0.4,31.8,20495755096.97525,58147.0,37.0,2345,2219
